"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação a acertar";"Índice de participação"
313060;3060;306;"INCONFIDENTES";7297;0;0,0255119765437059;0,137529448851706;0,107422335638676;0,144539281283426;0,117233294255569;0,019089;0,0938705262288399;0,0158235061749539;0;0,339805825242718;0;0;0,141835889399357;0;0;0;3;"Julho";2019;0;0,0346804677533435;0,0545752228488266;0,0386045867666524;0;0,03092077;0,03092077
313065;3065;800;"INDAIABIRA";7363;0;0,171673277029407;0,187583436963802;0,0492719853668365;0,0185812226028601;0,117233294255569;0;0,056272085058743;0,00238740165397339;0,026462193715859;0;0;0;0,252576143385809;0;0;0,173529774177247;4;"Julho";2019;0,0157912094501295;0,034994146096734;0,0727669637984355;0,0389537580324601;0;0,02112639;0,02112639
313070;3070;307;"INDIANÓPOLIS";6829;0;0,142867068644753;0;0,0526234211256786;0,0653113410956598;0,117233294255569;0;0,171097134659227;0,190605380766836;0,000720059692948545;0;0;0,216885041309148;0,135230971964557;0;0;0;3;"Julho";2019;0;0,0324562031365743;0,0545752228488266;0,0361286450636521;0;0,1591217;0,1591217
313080;3080;308;"INGAÍ";2757;0;0,0522151936755248;0;0,158281843207069;0,0515515709422966;0,117233294255569;7,6e-05;0,281506590714248;0,00850490545202966;0;0;0;0;0,052289348473639;0;0,211774671749258;0;1;"Julho";2019;0,0962515883100376;0,0131031998898134;0,0181917409496089;0,0145858360580596;0;0,02144725;0,02144725
313090;3090;309;"INHAPIM";24204;0;0,146672562540685;0,171399642680275;0,113772424444903;0,090453269291444;0,117233294255569;0;0,062421585190482;0,0318138485436289;0,0631852380562349;0,475442604226156;0,209980353265212;0;0,267312629504778;0;0;0;10;"Julho";2019;0;0,115034403385217;0,181917409496089;0,128050626024401;0;0,05233162;0,05233162
313100;3100;310;"INHAÚMA";6228;0;0,0418399823730478;0,135642686700507;0,11888777376103;0,207978414245752;0,117233294255569;0,098384;0,121372814133216;0,0249091788562641;0;0;0;0;0,0374819795986853;0;0;0;3;"Julho";2019;0;0,0295998291308515;0,0545752228488266;0,0329490703553119;0;0,03770886;0,03770886
313110;3110;311;"INIMUTABA";7467;0;0,089896911334702;0,167217235236303;0,205684080203183;0,0750998610593854;0,117233294255569;0,003324;0,0734620540284687;0,0109959940592193;0,153732744444514;0,369788692175899;0;0;0,0739797900398831;0;0;0;3;"Julho";2019;0;0,0354884271226827;0,0545752228488266;0,0395039672997935;0;0,02755955;0,02755955
313115;3115;737;"IPABA";18438;0;0,0193887613318465;0,180226536860225;0,067028715176842;0,0470126315739059;0,117233294255569;0;0,0537156273641176;0,00777447333388207;0,15841313244868;0;1,75034546292031;0;0,0541104034461263;0,366515959587886;0;0;7;"Julho";2019;0,166581503632694;0,0876303226580989;0,127342186647262;0,0975457545297433;0;0,03013788;0,03013788
313120;3120;312;"IPANEMA";19717;0;0,0779862096604227;0,190535316653271;0,121533644096958;0,117051002533174;0,117233294255569;0,000141;0,053249670103928;0,0250712198930223;0;0,456881781838949;0;0;0,148655792885639;0;0,211774671749258;0;6;"Julho";2019;0,0962515883100376;0,0937090287368335;0,109150445697653;0,104312270423199;0;0,04475601;0,04475601
313130;3130;313;"IPATINGA";261344;2,34435788415745;0,028305171570769;0,166163621380996;0,149502257461274;0,402415841762804;0,117233294255569;0,020109;0,105642019010219;1,4307370397903;0,870552168774791;0,342661336379212;0,115976837533724;0;0,0127463653272931;0,09900930922536;0,211774671749258;0;48;"Julho";2019;0,141251319352964;1,24209019659172;0,873203565581226;1,38263356501905;0;1,24271337;1,24271337
313140;3140;314;"IPIAÇU";4217;0;0,079968202226911;0;0,0396880550389196;0,0550858604262221;0,117233294255569;0;0,218770898745208;0,021376934929981;0;0;0;10,8624207698928;0,0947305679540854;0;0;0;2;"Julho";2019;0;0,0200421450617856;0,0363834818992178;0,0223099276956247;0;0,0568434;0,0568434
313150;3150;315;"IPUIÚNA";10039;0;0,0508535324024172;0,153445545032999;0,00352782711457063;0,148480053063545;0,117233294255569;0;0,0895671547858994;0,0332558641459561;0,00288023877179418;0;0;0;0,0438896509628333;0,00788443631948891;0,232952138924183;0;3;"Julho";2019;0,109460223448249;0,0477123771105681;0,0545752228488266;0,0531110657188466;0;0,04439787;0,04439787
313160;3160;316;"IRAÍ DE MINAS";6944;0;0,0609986757801515;0;0,0105834813437119;0,0481565657792383;0,117233294255569;8,6e-05;0,112919529344439;0,0467552562467386;0;0;0;0,514408802457072;0,0895799745694651;0;0;0;2;"Julho";2019;0;0,0330027638864214;0,0363834818992178;0,0367370495419534;0;0,04923192;0,04923192
313170;3170;317;"ITABIRA";119186;1,06914503023291;0,213791045118996;0;0,197714071983064;0,274508076303112;0,117233294255569;20,480031;0,0808648615437594;1,21385130382176;0,0449587270784748;0;0,547217965951927;0;0,0728266235188765;0,249246389367255;0,423549343498515;0;31;"Julho";2019;0,305785660587492;0,566455561141565;0,563943969437875;0,63055040131153;0;1,00212918;1,00212918
