"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";4840;8741,18;0;5394,69;43263,16;10850,9;9727,18;92368,64;0;15886,85;36117,68;978,76;2567,88;0;0;5900,72;15256,89;0;0;15255,36;4857,87;15018,71;0;266929,61;7158,29;274087,9
"Novembro";"2021";4850;15293,44;0;14631,85;32378,43;4485,61;16460,23;92368,64;0;8001,34;59107,13;0;4911,06;0;0;16512,8;0;0;0;0;7286,8;26276,51;0;297713,83;15718,59;313432,42
"Novembro";"2021";4860;31856,63;0;24317,24;38695,88;30787,82;19825,74;92368,64;0;7117,95;237857,84;2209,62;5135,75;2927,96;0;36354,6;0;0;0;0;14573,6;54734,66;0;598763,93;44996,84;643760,77
"Novembro";"2021";4870;44194,56;0;38885,86;68494,36;5553,61;20147,33;92368,64;2314,4;6142,56;363999,58;1234,57;0;2699,81;0;25904;0;25581,31;8658,11;34245,53;19431,46;75933,14;0;801549,4;-85281,14;716268,26
"Novembro";"2021";4875;12948,29;0;4242,85;73344,53;11427,62;5689,27;92368,64;0;10751,51;57478,12;0;4493,78;0;0;4417,41;8557,9;0;0;8557,04;7286,8;22247,17;0;315253,01;-34654,81;280598,2
"Novembro";"2021";4880;5458,7;0;4225,52;0;10680,02;11150,32;92368,64;0;29151,92;34666,9;0;1925,91;0;0;7923,24;0;0;0;0;4857,87;9378,89;0;211787,9;-11,73;211776,17
"Novembro";"2021";4890;7218,92;0;8512,07;36569,95;1281,6;28055,06;92368,64;0;24834,02;192504,79;0;0;0;0;12364,34;0;0;0;0;4857,87;12403,24;0;420970,52;16383,27;437353,79
"Novembro";"2021";4900;4599,48;0;1711,89;37520,09;12282,02;6134,09;92368,64;0;29213,22;20258,65;867,54;1283,94;0;0;18093,44;40161,99;0;0;40157,98;2428,93;7902,61;0;274822,47;-24750,67;250071,8
"Novembro";"2021";4910;20247,14;0;5334,88;46672,05;13221,86;16316,77;92368,64;0;12379,78;179584,88;300,3;5777,72;0;0;20410,05;0;0;0;0;9715,73;34787,74;0;457117,58;-48853,32;408264,26
"Novembro";"2021";4915;22183,57;0;37241,35;46482,62;1281,6;10737,9;92368,64;0;6274,28;53336,78;0;0;0;0;36721,45;1233,32;0;40671,03;41944,9;12144,66;38114,82;0;398832,55;3649,35;402481,9
"Novembro";"2021";4920;6617,65;0;8781,36;0;0;11764,6;92368,64;13,2;39574,27;397712,96;0;0;0;19604,36;8450,5;0;0;0;0;2428,93;11370,15;0;598686,59;72058,47;670745,06
"Novembro";"2021";4930;117551,84;0;7142,47;57007,95;12495,62;115564,61;92368,64;2655,55;15274,17;2773271,53;6821,65;5135,75;2585,73;0;3056,17;54175,16;25581,31;0;79748,5;34418,47;201972,36;0;3527071,02;-381557,41;3145513,61
"Novembro";"2021";4940;3280,67;0;2747,52;0;8223,61;6494,25;92368,64;0;33863,9;26416,84;51,9;0;0;0;7063,7;0;0;0;0;2428,93;5636,7;0;188576,7;10623,93;199200,63
"Novembro";"2021";4950;6049,07;0;2219,45;45240,93;7903,21;10926,27;92368,64;42,36;27116,8;44028,45;177,96;0;0;0;1191;0;0;0;0;2428,93;10393,25;0;250086,28;6146,83;256233,11
"Novembro";"2021";4960;8050,9;0;4907,39;0;10680,02;12557,06;92368,64;0;19635,75;140782,5;0;2567,88;0;0;10793,93;0;0;0;0;4857,87;13832,7;0;321034,58;28102,06;349136,64
"Novembro";"2021";4970;21353,41;0;6150,78;62635,24;14845,23;26730,36;92368,64;2,49;11496,52;379918,74;0;0;0;0;5692,38;0;0;0;0;9715,73;36688,48;0;667597,97;100847,57;768445,54
"Novembro";"2021";4980;29647,72;0;59717,07;0;6538,45;43847,57;92368,64;2,03;19769,26;3259630,76;734,07;0;2509,68;41657,33;52984,14;6992,01;0;0;6991,31;14573,6;0;0;3630971,6;242701,86;3873673,46
"Novembro";"2021";4990;39028,33;0;6600,97;40350,88;35350,86;52012,92;92368,64;0;13725,65;865597,49;0;4156,75;1045,7;835,77;12730,17;0;0;0;0;14573,6;67056,75;0;1245434,52;28613,74;1274048,26
"Novembro";"2021";4995;12303,41;0;5558,02;71787,33;6194,41;18837,45;92368,64;0;10243,26;68949,4;750,75;0;0;6289,82;5926,14;0;0;0;0;7286,8;21139,18;0;327634,57;-7087,84;320546,73
"Novembro";"2021";5000;7731,19;0;7768,92;31619,11;2349,6;13940,09;92368,64;0;16491,87;27708,08;0;0;0;0;10072,94;0;0;0;0;4857,87;13283,38;0;228191,64;4447,73;232639,37
"Novembro";"2021";5010;4964,6;0;4688,16;0;12111,14;11398,4;92368,64;0;29778,5;80805,81;0;1283,94;0;0;5056,98;0;0;0;0;2428,93;8529,96;0;253415,08;3699,44;257114,52
"Novembro";"2021";5015;15807,52;0;2666,46;72308,81;0;16071,04;92368,64;0;8697,14;108856,8;0;0;0;0;22426,2;0;0;0;0;9715,73;27159,78;0;376078,05;-31911,2;344166,85
"Novembro";"2021";5020;7520,47;0;2040,25;31842,46;21787,24;10425,67;92368,64;0,98;19324,59;165070,49;0;0;0;0;3705,38;0;0;0;0;4857,87;12921,34;0;371865,3;2280,27;374145,57
